sku,name_short,brand,category,great_category
539070047,"Refill ""Лимон"" для мытья посуды 1 л",SYNERGETIC,Посуда,Clean
538993940,"Кондиционер бальзам 3,75л Цветущий апельсин и роза",SYNERGETIC,Кондиционеры,Home
538862456,"Кондиционер бальзам 3,75л Нежный ирис и гранат",SYNERGETIC,Кондиционеры,Home
357690113,"Подгузники размер 2 / MINI, 50шт",SYNERGETIC,Подгузники,Baby
357690726,"Подгузники размер 3 / MIDI, 49шт",SYNERGETIC,Подгузники,Baby
357692316,"Подгузники размер 4 / MAXI, 42шт",SYNERGETIC,Подгузники,Baby
357692190,"Подгузники-трусики размер 4 / MAXI, 44шт",SYNERGETIC,Подгузники,Baby
357693360,"Подгузники-трусики размер 5 / JUNIOR, 40шт",SYNERGETIC,Подгузники,Baby
357694610,"Подгузники-трусики размер 6 / XL, 36шт",SYNERGETIC,Подгузники,Baby
539878217,Стирка 5л,SYNERGETIC,Стирка,Home
539878443,Стирка 5л Детская,SYNERGETIC,Стирка,Home
539887572,Кондиционер 5л Детский,SYNERGETIC,Кондиционеры,Home
539888128,"Кондиционер 2,75л Аромамагия",SYNERGETIC,Кондиционеры,Home
539888683,Кондиционер 5л Аромамагия,SYNERGETIC,Кондиционеры,Home
541307796,Кондиционер 5л Лавандовое поле,SYNERGETIC,Кондиционеры,Home
539920598,"Кондиционер 2,75л Миндальное молочко",SYNERGETIC,Кондиционеры,Home
539926725,Кондиционер 5л Утренняя роса,SYNERGETIC,Кондиционеры,Home
541314764,"Кондиционер 2,75л Цитрусовая фантазя",SYNERGETIC,Кондиционеры,Home
540000619,"Кондиционер 2,75л Детский",SYNERGETIC,Кондиционеры,Home
540103052,Кондиционер 5л Миндальное молочко,SYNERGETIC,Кондиционеры,Home
540028276,"Стирка 2,75л Для белого белья",SYNERGETIC,Стирка,Home
540211027,"Стирка 2,75л Для цветного белья",SYNERGETIC,Стирка,Home
540066002,"Ополаскиватель для ПММ 0,75л",SYNERGETIC,ПММ,Home
540104655,"Стирка 2,75л Для черного белья",SYNERGETIC,Стирка,Home
541320116,Отбеливатель 1л,SYNERGETIC,Пятновыводители,Home
540109988,"Соль для ПММ, 1500г",SYNERGETIC,ПММ,Home
540127411,Пятновыводитель 1л,SYNERGETIC,Пятновыводители,Home
541350293,"Таблетки для ПММ, 25шт",SYNERGETIC,ПММ,Home
540130201,Стирка 1л,SYNERGETIC,Стирка,Home
540195799,"Таблетки для ПММ, 55шт",SYNERGETIC,ПММ,Home
541405594,"Стирка 2,75л",SYNERGETIC,Стирка,Home
540225569,"Стирка 2,75л Детская",SYNERGETIC,Стирка,Home
540230800,Стиральный порошок (20 стирок),SYNERGETIC,Порошок,Home
540230018,"Посуда 0,5л Детская",SYNERGETIC,Посуда,Clean
540283113,Стиральный порошок (50 стирок),SYNERGETIC,Порошок,Home
540242339,Посуда 1л Апельсин,SYNERGETIC,Посуда,Clean
540246408,Посуда 1л Арбуз,SYNERGETIC,Посуда,Clean
540337510,"Окна 0,5л (Триггер)",SYNERGETIC,Окна,Clean
540246714,Посуда 1л Алоэ,SYNERGETIC,Посуда,Clean
540270565,Посуда 5л Алоэ,SYNERGETIC,Посуда,Clean
541311687,"Сантехника 0,7л Сказочная чистота (лаванда/шалфей)",SYNERGETIC,Сантехника,Clean
540297327,Посуда 5л Арбуз,SYNERGETIC,Посуда,Clean
540298426,Посуда 5л Лимон,SYNERGETIC,Посуда,Clean
541315183,"Сантехника 0,5л (Триггер)",SYNERGETIC,Сантехника,Clean
540316000,Посуда 5л Яблоко,SYNERGETIC,Посуда,Clean
540328208,"Стирка 0,75л Спортивная и мембранная одежда",SYNERGETIC,Стирка,Home
540332660,Поверхность 5л,SYNERGETIC,Пол,Clean
540337426,"Стирка 0,75л Для черного белья",SYNERGETIC,Стирка,Home
540338606,"Поверхность 0,75л Аромамагия",SYNERGETIC,Пол,Clean
540344439,"Поверхность 0,75л Горная лаванда",SYNERGETIC,Пол,Clean
540349518,"Поверхность 0,75л Хвойная свежесть",SYNERGETIC,Пол,Clean
540354543,"Поверхность 0,75л Цитрусовая свежесть",SYNERGETIC,Пол,Clean
540357779,Сантехника 1л Утёнок,SYNERGETIC,Сантехника,Clean
540369225,Трубы 1л,SYNERGETIC,Сантехника,Clean
540373396,"Плиты 0,5л (Триггер)",SYNERGETIC,Кухня,Clean
541308161,Плиты 1л (Флиптоп),SYNERGETIC,Кухня,Clean
540373403,Пятновыводитель (10стирок),SYNERGETIC,Пятновыводители,Home
540376152,Стирка 5л 2в1,SYNERGETIC,Стирка,Home
541347054,"Кондиционер бальзам 0,75л Иланг-иланг и вишня",SYNERGETIC,Кондиционеры,Home
541335282,"Поверхность и текстиль 0,5л (спрей)",SYNERGETIC,Пол,Clean
541343589,"Кухня 0,5л Мандарин и лемонграсс",SYNERGETIC,Кухня,Clean
541348316,"Таблетки для ПММ, 100шт",SYNERGETIC,ПММ,Home
541356856,Сет стирка 5л + кондиционер «Утренняя роса» 5л + подарок,SYNERGETIC,Home_Наборы,Home
541359252,"Набор экосредств SYNERGETIC ""Clean_Наборы дома""",SYNERGETIC,Clean_Наборы,Clean
541360156,Набор экосредств SYNERGETIC Clean_Наборы на кухне,SYNERGETIC,Clean_Наборы,Clean
541361611,Набор чистящих средств SYNERGETIC Чистый дом + ПОДАРОК,SYNERGETIC,Clean_Наборы,Clean
541363429,Набор чистящих средств Эко-стирка + Подарок,SYNERGETIC,Home_Наборы,Home
541414229,"Зубная паста детская липа и ромашка, от 0 до 3 лет, 50г",SYNERGETIC,Зубные пасты,Oral
541716450,"Бальзам для волос Максимальное питание и восстановление 0,25л",SYNERGETIC,Бальзамы для волос,Beauty
541464630,"Бальзам для волос Объём и укрепление волос 0,25л",SYNERGETIC,Бальзамы для волос,Beauty
541647910,"Набор гелей для душа полная коллекция ароматов, 380 мл *5 шт.",SYNERGETIC,Бьюти наборы,Beauty
541636620,"Скраб тонус и упругость, кофе и зеленый лайм 300мл",SYNERGETIC,Скрабы,Beauty
544043129,"Скраб эластичность и сияние кожи, сандал и ягоды можжевельника 300мл",SYNERGETIC,Скрабы,Beauty
544044150,"Скраб антицеллюлитный, пачули и ароматный бергамот 300мл",SYNERGETIC,Скрабы,Beauty
541727280,"Скраб глубокое очищение и питание, карамельное яблоко и ваниль 300мл",SYNERGETIC,Скрабы,Beauty
545665943,"Скраб подтягивающий, цветущий инжир и лотос 300мл",SYNERGETIC,Скрабы,Beauty
541805713,"Подарочный набор ""Идеальный спа-уход""",SYNERGETIC,Бьюти наборы,Beauty
541804095,"Шампунь Интенсивное увлажнение и блеск 0,25л",SYNERGETIC,Шампуни,Beauty
541809683,"Шампунь Максимальное питание и восстановление 0,25л",SYNERGETIC,Шампуни,Beauty
544021738,"Шампунь Объём и укрепление волос 0,25л",SYNERGETIC,Шампуни,Beauty
544021885,"Гель для душа 0,38л Сандал и ягоды можжевельника",SYNERGETIC,Гели для душа,Beauty
544028408,Мыло 5л Аромамагия,SYNERGETIC,Жидкое мыло,Beauty
544021550,"Жидкое мыло ""Аромамагия"" 0,5л",SYNERGETIC,Жидкое мыло,Beauty
542016884,Мыло 5л Лаванда,SYNERGETIC,Жидкое мыло,Beauty
542008554,Мыло 5л Миндальное молочко,SYNERGETIC,Жидкое мыло,Beauty
544018422,"Жидкое мыло ""Миндальное молочко"" 0,5 л",SYNERGETIC,Жидкое мыло,Beauty
544081770,Мыло 5л Полевые цветы,SYNERGETIC,Жидкое мыло,Beauty
542065878,Мыло 5л Фруктовый микс,SYNERGETIC,Жидкое мыло,Beauty
544040197,"Жидкое мыло ""Фруктовый микс"" 0,5л",SYNERGETIC,Жидкое мыло,Beauty
544040273,"Мыло 3,5л Лемонграсс и мята",SYNERGETIC,Жидкое мыло,Beauty
543977309,"Мыло 3,5л Имбирь и бергамот",SYNERGETIC,Жидкое мыло,Beauty
542239326,"Мыло 3,5л Мелисса и ромашка",SYNERGETIC,Жидкое мыло,Beauty
544053986,"Мыло 0,38л Карамельное яблоко и ваниль",SYNERGETIC,Жидкое мыло,Beauty
542183977,"Гель для душа 0,38л Кофе и зеленый лайм",SYNERGETIC,Гели для душа,Beauty
543973748,Гель для душа 750 мл Кофе и зеленый лайм,SYNERGETIC,Гели для душа,Beauty
543950353,Гель для душа 750 мл Кумкват и чувственное нероли,SYNERGETIC,Гели для душа,Beauty
543572689,Гель для душа 750 мл Цветущий инжир и лотос,SYNERGETIC,Гели для душа,Beauty
543596285,Гель для душа 750 мл Карамельное яблоко и ваниль,SYNERGETIC,Гели для душа,Beauty
543589682,Гель для душа 750 мл Гвоздика и дикая клюква,SYNERGETIC,Гели для душа,Beauty
543602971,"Гель для душа 0,38л Кокос и масло макадамии",SYNERGETIC,Гели для душа,Beauty
543943688,"Гель для душа 0,75л Кокос и масло макадамии",SYNERGETIC,Гели для душа,Beauty
543948413,Стиральный порошок (100 стирок),SYNERGETIC,Порошок,Home
544097927,"Кондиционер бальзам 0,75л Помело и яблоневый цвет",SYNERGETIC,Кондиционеры,Home
544098146,"Кондиционер бальзам 0,75л Нежный ирис и гранат",SYNERGETIC,Кондиционеры,Home
544976708,"Кондиционер бальзам 3,75л Иланг-иланг и вишня",SYNERGETIC,Кондиционеры,Home
546351388,"Стирка 1,5л Color",SYNERGETIC,Стирка,Home
546420622,"Стирка 1,5л Pure",SYNERGETIC,Стирка,Home
546491308,"Пятновыводитель 0,5л",SYNERGETIC,Пятновыводители,Home
546370468,"Пятновыводитель 0,25л",SYNERGETIC,Пятновыводители,Home
546411091,"Зубная паста интенсивное отбеливание, 100г (Кокос+Мята)",SYNERGETIC,Зубные пасты,Oral
546414793,"Зубная паста природное отбеливание, 100г (Уголь+Мята)",SYNERGETIC,Зубные пасты,Oral
546428276,"Зубная паста для чувствительных зубов и десен,100г (Ягоды+Мята)",SYNERGETIC,Зубные пасты,Oral
546572448,"Салфетки влажные, алоэ вера и нежный хлопок, 90шт",SYNERGETIC,Влажные салфетки,Baby
546697835,"Салфетки влажные, пантенол и овсяное молочко, 90шт",SYNERGETIC,Влажные салфетки,Baby
547214273,"Салфетки влажные, алоэ вера и нежный хлопок, 60шт",SYNERGETIC,Влажные салфетки,Baby
547004502,"Салфетки влажные, пантенол и овсяное молочко, 60шт",SYNERGETIC,Влажные салфетки,Baby
547063164,"Набор-Салфетки влажные для детей SYNERGETIC пантенол и овсяное молочко, 3уп х 90шт",SYNERGETIC,Влажные салфетки,Baby
547074042,"Набор-Салфетки влажные для детей SYNERGETIC алоэ вера и нежный хлопок, 3уп х 90шт",SYNERGETIC,Влажные салфетки,Baby
547076095,"Набор-Салфетки влажные для детей SYNERGETIC пантенол и овсяное молочко, 4уп х 60шт",SYNERGETIC,Влажные салфетки,Baby
547099391,"Набор-Салфетки влажные для детей SYNERGETIC алоэ вера и нежный хлопок, 4уп х 60шт",SYNERGETIC,Влажные салфетки,Baby
547097714,"Крем-мыло 3,5л Кокосовое молочко",SYNERGETIC,Жидкое мыло,Beauty
547125592,"Жидкое мыло ""Кокосовое молочко"" 0,5л",SYNERGETIC,Жидкое мыло,Beauty
547414685,"Бальзам для волос Интенсивное увлажнение и блеск 0,25л",SYNERGETIC,Бальзамы для волос,Beauty
547422896,"Шампунь 2в1 мужской Энергия и сила 0,75л",SYNERGETIC,Шампуни,Beauty
548849881,"Шампунь Интенсивное увлажнение и блеск 0,75л",SYNERGETIC,Шампуни,Beauty
547511462,"Шампунь 2в1 Экстрамягкий для ежедневного ухода 0,75л",SYNERGETIC,Шампуни,Beauty
547662513,"Шампунь Объём и укрепление волос 0,75л",SYNERGETIC,Шампуни,Beauty
547635111,"Шампунь 2в1 мужской Энергия и сила 0,25л",SYNERGETIC,Шампуни,Beauty
547563249,"Шампунь 2в1 Экстрамягкий для ежедневного ухода 0,25л",SYNERGETIC,Шампуни,Beauty
547686963,Гель для душа 750 мл Пачули и ароматный бергамот,SYNERGETIC,Гели для душа,Beauty
547667920,Гель для душа 750 мл Сандал и ягоды можжевельника,SYNERGETIC,Гели для душа,Beauty
547684309,Крем-мыло 1л Кокосовое молочко,SYNERGETIC,Жидкое мыло,Beauty
548740215,Пятновыводитель (25стирок),SYNERGETIC,Пятновыводители,Home
555037043,"Стирка 3,75л 2в1",SYNERGETIC,Стирка,Home
555074852,Кондиционер 5л Райский сад,SYNERGETIC,Кондиционеры,Home
555947705,"Кондиционер бальзам 3,75л Помело и яблоневый цвет",SYNERGETIC,Кондиционеры,Home
556613021,Кондиционер 5л Цветочная фантазия,SYNERGETIC,Кондиционеры,Home
556857025,"Кондиционер 2,75л Цветочная фантазия",SYNERGETIC,Кондиционеры,Home
556703512,"Кондиционер бальзам 3,75л Эвкалипт и ромашка",SYNERGETIC,Кондиционеры,Home
557635101,"Сет Набор спайка ""Соль для ПММ, 3кг""",SYNERGETIC,ПММ,Home
561358412,"Бальзам для посуды 3,5л Базилик и свежая мята",SYNERGETIC,Посуда,Clean
561378766,"Бальзам для посуды 3,5л Pure 0%",SYNERGETIC,Посуда,Clean
561383108,"Бальзам для посуды 3,5л Розмарин и листья смородины",SYNERGETIC,Посуда,Clean
562123037,"Бальзам для посуды 3,5л Розовый грейпфрут и специи",SYNERGETIC,Посуда,Clean
562122560,"Бальзам для посуды 3,5л Сочный гранат и абрикос",SYNERGETIC,Посуда,Clean
562373538,"Бальзам для посуды 3,5л Эвкалипт и горный чабрец",SYNERGETIC,Посуда,Clean
562197067,"Скраб питание и тонус, кокос и масло макадамии 300мл",SYNERGETIC,Скрабы,Beauty
562296788,Мыло 5л Луговые травы,SYNERGETIC,Жидкое мыло,Beauty
562305237,"Стирка 0,75л Для деликатных тканей",SYNERGETIC,Стирка,Home
562329330,Стирка 1л Детская,SYNERGETIC,Стирка,Home
562335067,"Стирка 0,75л 2в1",SYNERGETIC,Стирка,Home
562358012,"Стирка 0,75л Для цветного белья",SYNERGETIC,Стирка,Home
562370313,"Стирка 0,75л Для белого белья",SYNERGETIC,Стирка,Home
562386072,Кондиционер 1л Детский,SYNERGETIC,Кондиционеры,Home
562410317,"Кондиционер бальзам 0,75л Цветущий апельсин и роза",SYNERGETIC,Кондиционеры,Home
562803354,Кондиционер 1л Лавандовое поле,SYNERGETIC,Кондиционеры,Home
562592177,"Кондиционер бальзам 0,75л Эвкалипт и ромашка",SYNERGETIC,Кондиционеры,Home
562822112,Кондиционер 1л Миндальное молочко,SYNERGETIC,Кондиционеры,Home
562878290,Кондиционер 1л Аромамагия,SYNERGETIC,Кондиционеры,Home
562879956,Посуда 1л Яблоко,SYNERGETIC,Посуда,Clean
562968650,Посуда 1л Лимон,SYNERGETIC,Посуда,Clean
563415300,"Поверхность 0,75л Нежная чистота",SYNERGETIC,Пол,Clean
563573582,"Поверхность 0,75л Райский сад",SYNERGETIC,Пол,Clean
563603889,"Поверхность 0,75л Сила океана",SYNERGETIC,Пол,Clean
563635992,"Сантехника 0,7л 5в1 (грейпфрут/апельсин)",SYNERGETIC,Сантехника,Clean
563673293,"Сантехника 0,7л Зеленая сила (чайное дерево/эвкалипт)",SYNERGETIC,Сантехника,Clean
563853301,Мыло 1л Лемонграсс и мята,SYNERGETIC,Жидкое мыло,Beauty
563692494,"Жидкое мыло ""Лемонграсс и мята"" 0,5л",SYNERGETIC,Жидкое мыло,Beauty
564208849,"Мыло эвкалипт и шалфей, 90 г. твердое , кусковое",SYNERGETIC,Кусковое мыло,Beauty
564243365,"Мыло розмарин и имбирь, 90 г. твердое, кусковое",SYNERGETIC,Кусковое мыло,Beauty
564238683,"Мыло морская соль и водоросли, 90 г. твердое, кусковое",SYNERGETIC,Кусковое мыло,Beauty
564240465,"Мыло ""Масло мяты и апельсин"" 90 г. твердое, кусковое",SYNERGETIC,Кусковое мыло,Beauty
564240000,"Мыло 0,38л Пачули и ароматный бергамот",SYNERGETIC,Жидкое мыло,Beauty
564310135,"Жидкое мыло ""Лаванда"" увлажняющее 0,5л",SYNERGETIC,Жидкое мыло,Beauty
568751814,"Мыло 0,38л Цветущий инжир и лотос",SYNERGETIC,Жидкое мыло,Beauty
564337546,"Гель для душа 0,38л Кумкват и чувственное нероли",SYNERGETIC,Гели для душа,Beauty
569311156,"Набор экосредств ""Стирка на 3 месяца""",SYNERGETIC,Home_Наборы,Home
569348380,"Набор эко средств SYNERGETIC ""Стирка XL""",SYNERGETIC,Стирка,Home
569370330,"Набор экосредство SYNERGETIC ""Для посудомойки XL""",SYNERGETIC,ПММ,Home
569383379,"Набор для стирки детского белья 5л + кондиционер ""Нежное прикосновение"" 5л",SYNERGETIC,Home_Наборы,Home
569390840,"Набор для мытья посуды ""Арбуз"" 5л + жидкое мыло ""Миндальное молочко"" 5л",SYNERGETIC,Clean_Наборы,Clean
570303493,"Набор мыла: ""Цветущий инжир"" + ""Сандал"" + ""Карамельное яблоко"", 380 мл*3 шт.",SYNERGETIC,Бьюти наборы,Beauty
569663840,"Набор мыло и гель ""Сандал"" + гель для душа ""Карамельное яблоко"", 380 мл*3 шт.",SYNERGETIC,Бьюти наборы,Beauty
569435471,"Набор ""Нежный уход"" для увлажнения кожи и укрепления волос",SYNERGETIC,Бьюти наборы,Beauty
570062679,"Подарочный набор ""Кокос и масло макадамии""",SYNERGETIC,Бьюти наборы,Beauty
596498366,"Стирка 0,75л Для джинсовых тканей",SYNERGETIC,Стирка,Home
596532261,Кондиционер 1л Утренняя роса,SYNERGETIC,Кондиционеры,Home
596577002,Кондиционер 1л Райский сад,SYNERGETIC,Кондиционеры,Home
596696938,Кондиционер 1л Цитрусовая фантазя,SYNERGETIC,Кондиционеры,Home
596720152,Кондиционер 1л Цветочная фантазия,SYNERGETIC,Кондиционеры,Home
596876689,Посуда 1л Автомат,SYNERGETIC,ПММ,Home
596960135,Посуда 5л Автомат,SYNERGETIC,ПММ,Home
596996854,"Посуда 0,5л Яблоко",SYNERGETIC,Посуда,Clean
597019248,"Посуда 0,5л Апельсин",SYNERGETIC,Посуда,Clean
597031571,Бальзам для посуды 1л Базилик и свежая мята,SYNERGETIC,Посуда,Clean
597050339,Бальзам для посуды 1л Эвкалипт и горный чабрец,SYNERGETIC,Посуда,Clean
597078871,Бальзам для посуды 1л Розмарин и листья смородины,SYNERGETIC,Посуда,Clean
597169662,Бальзам для посуды 1л Сочный гранат и абрикос,SYNERGETIC,Посуда,Clean
597729462,Трубы 5л,SYNERGETIC,Сантехника,Clean
597748418,Бальзам для посуды 1л Розовый грейпфрут и специи,SYNERGETIC,Посуда,Clean
597760596,"Бальзам для посуды 0,5л Pure 0%",SYNERGETIC,Посуда,Clean
597796584,"Бальзам для посуды 0,5л Базилик и свежая мята",SYNERGETIC,Посуда,Clean
597848405,"Бальзам для посуды 0,5л Эвкалипт и горный чабрец",SYNERGETIC,Посуда,Clean
598006933,"Кондиционер 2,75л Лавандовое поле",SYNERGETIC,Кондиционеры,Home
598028751,Кондиционер 5л Цитрусовая фантазия,SYNERGETIC,Кондиционеры,Home
598046717,"Кондиционер 2,75л Райский сад",SYNERGETIC,Кондиционеры,Home
598065835,"Кондиционер 2,75л Утренняя роса",SYNERGETIC,Кондиционеры,Home
598073683,Посуда 5л Апельсин,SYNERGETIC,Посуда,Clean
598088598,Плиты 5л,SYNERGETIC,Кухня,Clean
598106043,Сантехника 5л,SYNERGETIC,Сантехника,Clean
598115035,Окна 5л,SYNERGETIC,Окна,Clean
598665861,Бальзам для посуды 1л Pure 0%,SYNERGETIC,Посуда,Clean
598703394,"Бальзам для посуды 0,5л Розмарин и листья смородины",SYNERGETIC,Посуда,Clean
598712662,"Бальзам для посуды 0,5л Сочный гранат и абрикос",SYNERGETIC,Посуда,Clean
599005304,Поверхность 1л,SYNERGETIC,Пол,Clean
599026291,"Поверхность 0,75л Полевые цветы",SYNERGETIC,Пол,Clean
599044631,"Сантехника 0,7л Хвойный лес (пихта/кедр)",SYNERGETIC,Сантехника,Clean
599138864,"Жидкое мыло ""Луговые травы"" 0,5л",SYNERGETIC,Жидкое мыло,Beauty
599173988,Мыло 1л Имбирь и бергамот,SYNERGETIC,Жидкое мыло,Beauty
600664176,"Мыло ""Ассорти"" 4*90гр. твердое, кусковое",SYNERGETIC,Кусковое мыло,Beauty
600840799,"Мыло ""Масло мяты и апельсин"" 4*90гр. твердое, кусковое",SYNERGETIC,Кусковое мыло,Beauty
600802291,"Мыло ""Морская соль и водоросли "" 4*90гр. твердое, кусковое",SYNERGETIC,Кусковое мыло,Beauty
600803421,"Мыло ""Розмарин и имбирь"" 4*90гр. кусковое, твердое",SYNERGETIC,Кусковое мыло,Beauty
600889590,"Мыло Эвкалипт и шалфей 4*90гр. твердое, кусковое",SYNERGETIC,Кусковое мыло,Beauty
607930618,Таблетки для посудомоечных машин 300шт.,SYNERGETIC,ПММ,Home
608323830,Набор Зубная паста Активная защита Лайм +Мята 100гр-2шт.,SYNERGETIC,Зубные пасты,Oral
608326473,"Набор Зубная паста Деликатное отбеливание МАЛИНА+МЯТА, 100 г-2шт",SYNERGETIC,Зубные пасты,Oral
608340332,"Набор Зубная паста Для чувствительных зубов и дёсен ЯГОДЫ+МЯТА, 100 г -2шт",SYNERGETIC,Зубные пасты,Oral
608733194,Спайка Зубная паста Интенсивное отбеливание Кокос + Мята 100гр.2шт,SYNERGETIC,Зубные пасты,Oral
608407604,Набор Зубная паста Комплекс-формула 7в1 МАНГО+МЯТА 100 г -2шт,SYNERGETIC,Зубные пасты,Oral
608398882,"Набор Зубная паста Комплексное укрепление УЛЬТРАМЯТА, 100 г -2шт",SYNERGETIC,Зубные пасты,Oral
608682578,"Набор Зубная паста Природное отбеливание УГОЛЬ+МЯТА, 100 г -2шт",SYNERGETIC,Зубные пасты,Oral
608687548,"Набор Зубная паста , для детей от 0 до 3 лет, 50 г -2шт",SYNERGETIC,Зубные пасты,Oral
608702021,"Набор Зубная паста , для детей от 3 до 6 лет, жёлтая, 50 г -2шт",SYNERGETIC,Зубные пасты,Oral
608712075,"Набор Зубная паста , для детей от 3 до 6 лет, натуральная, красная, 50 г -2шт",SYNERGETIC,Зубные пасты,Oral
623695358,"Маска ""Тонизирующая для роста волос"" 300 мл",SYNERGETIC,Маски для волос,Beauty
625097444,Маска для волос Интенсивное увлажнение и блеск 300 мл,SYNERGETIC,Маски для волос,Beauty
625134081,Маска для волос Максимальное питание и восстановление 300 мл,SYNERGETIC,Маски для волос,Beauty
623797095,"Шампунь Балансирующий для мягкого очищения жирной кожи головы, 250 мл",SYNERGETIC,Шампуни,Beauty
624928972,"Шампунь Глубокое очищение и тонизирование для роста волос, 250 мл",SYNERGETIC,Шампуни,Beauty
624654664,"Шампунь Интенсивное увлажнение и блеск 3,5 л",SYNERGETIC,Шампуни,Beauty
624926833,"Шампунь Максимальное питание и восстановление 3,5 л",SYNERGETIC,Шампуни,Beauty
625242355,Освежитель «Ягоды можжевельника и ангелика» 380 мл,SYNERGETIC,Освежители воздуха,Clean
628140710,Освежитель «Миндаль и яблоневый цвет» 380 мл,SYNERGETIC,Освежители воздуха,Clean
628150803,Освежитель «Ирис и розовый перец» 380 мл,SYNERGETIC,Освежители воздуха,Clean
628159292,Освежитель «Пачули и нероли» 380 мл,SYNERGETIC,Освежители воздуха,Clean
628162484,Освежитель «Имбирь и лемонграсс» 380 мл,SYNERGETIC,Освежители воздуха,Clean
628632057,"Сантехника ""Лаванда и шалфей"" для ванной и туалета 5л",SYNERGETIC,Сантехника,Clean
628682805,"Сантехника ""Грейпфрут и апельсин"" для ванной и туалета 5 л",SYNERGETIC,Сантехника,Clean
628735666,Крем для рук Сандал и ягоды можжевельника 380 мл,SYNERGETIC,Крем для рук и тела,Beauty
628740961,Крем для рук Пачули и ароматный бергамот 380 мл,SYNERGETIC,Крем для рук и тела,Beauty
628745308,Крем для рук Карамельное яблоко и ваниль 380 мл,SYNERGETIC,Крем для рук и тела,Beauty
628921423,"Пол и поверхности ""Нежная чистота"" 5 литров",SYNERGETIC,Пол,Clean
628930282,"Пол и поверхности ""Цитрусовая свежесть"" 5 литров",SYNERGETIC,Пол,Clean
629063495,"Пол и поверхности ""Горная лаванда"" 5л",SYNERGETIC,Пол,Clean
630745112,"Шампунь Против перхоти для чувствительной кожи головы, 250 мл",SYNERGETIC,Шампуни,Beauty
630604198,"Шампунь Балансирующий для мягкого очищения жирной кожи головы, 750 мл",SYNERGETIC,Шампуни,Beauty
630743268,"Шампунь Глубокое очищение и тонизирование для роста волос, 750 мл",SYNERGETIC,Шампуни,Beauty
630742361,"Шампунь Против перхоти для чувствительной кожи головы, 750 мл",SYNERGETIC,Шампуни,Beauty
630640932,"Гель для душа Пачули и ароматный бергамот 3,5 л",SYNERGETIC,Гели для душа,Beauty
630650974,"Гель для душа «Карамельное яблоко и ваниль» 3,5 л",SYNERGETIC,Гели для душа,Beauty
630672284,"Дезодорант ""бергамот - зеленый лайм""",SYNERGETIC,Дезодоранты,Beauty
630676071,"Дезодорант ""лемонграсс - эвкалипт""",SYNERGETIC,Дезодоранты,Beauty
630681207,"Дезодорант ""без запаха""",SYNERGETIC,Дезодоранты,Beauty
630688283,"Дезодорант ""лимонный кедр""",SYNERGETIC,Дезодоранты,Beauty
634334304,"Мыло 0,38л Сандал и ягоды можжевельника",SYNERGETIC,Жидкое мыло,Beauty
634368533,"Гель для душа 0,38л Пачули и ароматный бергамот",SYNERGETIC,Гели для душа,Beauty
634374584,"Гель для душа 0,38л Цветущий инжир и лотос",SYNERGETIC,Гели для душа,Beauty
634879763,"Гель для душа 0,38л Карамельное яблоко и ваниль",SYNERGETIC,Гели для душа,Beauty
634885200,"Жидкое мыло ""Полевые цветы"" 0,5л",SYNERGETIC,Жидкое мыло,Beauty
634904925,"Жидкое мыло ""Имбирь и бергамот"" 0,5л",SYNERGETIC,Жидкое мыло,Beauty
634907322,"Жидкое мыло""Мелисса и ромашка"" 0,5л",SYNERGETIC,Жидкое мыло,Beauty
634911961,Мыло 1л Мелисса и ромашка,SYNERGETIC,Жидкое мыло,Beauty
634927098,"Посуда 0,5л Арбуз",SYNERGETIC,Посуда,Clean
634937643,"Посуда 0,5л Алоэ",SYNERGETIC,Посуда,Clean
634957487,"Посуда 0,5л Лимон",SYNERGETIC,Посуда,Clean
635015294,"Ополаскиватель для полости рта - Активная защита (Лайм+Мята), 200мл",SYNERGETIC,Ополаскиватели для рта,Oral
635052614,"Ополаскиватель для полости рта - 7в1 (Манго+Мята), 200мл",SYNERGETIC,Ополаскиватели для рта,Oral
635177302,"Шампунь Максимальное питание и восстановление 0,75л",SYNERGETIC,Шампуни,Beauty
635249378,"Бальзам для посуды 0,5л Розовый грейпфрут и специи",SYNERGETIC,Посуда,Clean
646629499,"Зубная щетка для взрослых Eco dental care, medium, 2 шт. (розовая, голубая)",SYNERGETIC,Зубные щетки,Oral
646638855,"Зубная щетка для взрослых Eco dental care, medium, 2 шт. (фиолетовая, зеленая)",SYNERGETIC,Зубные щетки,Oral
646653851,"Зубная паста детская клубничка и банан, от 3 до 6 лет (желтая), 50г",SYNERGETIC,Зубные пасты,Oral
646660576,"Зубная паста детская клубничка и банан, от 3 до 6 лет (красная), 50г",SYNERGETIC,Зубные пасты,Oral
664771799,"Скраб ""Гвоздика и дикая клюква"" 300 мл",SYNERGETIC,Скрабы,Beauty
665452730,Детская зубная паста апельсиновый джем,SYNERGETIC,Зубные пасты,Oral
665517194,Детская зубная паста Ванильный пломбир,SYNERGETIC,Зубные пасты,Oral
665559777,Зубная паста биоактивный кальций,SYNERGETIC,Зубные пасты,Oral
665586878,Зубная паста защита от кариеса,SYNERGETIC,Зубные пасты,Oral
675988494,Диспенсер для моющих средств REFILL SYNERGETIC 450 мл,SYNERGETIC,Диспенсеры,Beauty
676302617,Шампунь Интенсивное увлажнение и блеск 400 мл,SYNERGETIC,Шампуни,Beauty
